user_id,timestamp,action_type,stock_code
u00440,2026-04-15 09:52:28,view,600039
u00296,2026-04-15 09:48:32,view,600045
u00474,2026-04-15 10:50:41,view,680024
u00483,2026-04-15 09:36:26,view,000005
u00354,2026-04-15 13:32:24,view,600046
u00048,2026-04-15 10:19:14,click,600025
u00391,2026-04-15 09:58:22,click,000003
u00034,2026-04-15 09:57:22,view,600056
u00072,2026-04-15 10:39:21,view,300040
u00428,2026-04-15 10:55:42,view,600054
u00046,2026-04-15 14:06:15,view,600053
u00414,2026-04-15 09:34:02,click,600078
u00476,2026-04-15 09:46:40,view,300039
u00147,2026-04-15 14:16:20,click,600023
u00499,2026-04-15 11:10:29,click,000023
u00486,2026-04-15 13:51:07,view,000032
u00143,2026-04-15 13:33:40,view,680016
u00170,2026-04-15 10:25:41,view,680002
u00506,2026-04-15 09:37:25,follow,600001
u00016,2026-04-15 10:07:02,follow,300045
u00064,2026-04-15 10:27:11,view,000033
u00218,2026-04-15 14:42:10,view,600071
u00037,2026-04-15 13:04:16,click,300048
u00477,2026-04-15 14:03:08,view,300031
u00046,2026-04-15 11:28:54,view,600072
u00503,2026-04-15 09:39:39,follow,600004
u00121,2026-04-15 10:10:06,view,600002
u00477,2026-04-15 13:25:13,view,600038
u00363,2026-04-15 10:18:33,view,300015
u00227,2026-04-15 14:23:38,view,600080
u00347,2026-04-15 10:30:33,view,600085
u00228,2026-04-15 13:31:15,view,600095
u00481,2026-04-15 13:29:42,view,000025
u00330,2026-04-15 10:06:05,follow,600083
u00022,2026-04-15 11:00:43,click,600067
u00342,2026-04-15 14:51:01,view,000005
u00394,2026-04-15 13:29:45,view,600050
u00311,2026-04-15 10:55:34,view,300042
u00493,2026-04-15 09:52:13,view,600018
u00096,2026-04-15 10:45:13,view,600002
u00151,2026-04-15 13:00:36,view,600055
u00169,2026-04-15 10:41:44,view,300030
u00023,2026-04-15 11:21:42,view,000036
u00073,2026-04-15 14:44:26,view,680020
u00059,2026-04-15 13:10:38,view,680008
u00322,2026-04-15 10:20:12,view,600006
u00467,2026-04-15 10:44:43,view,600074
